"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"31",31,"Enero","martes, 09 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",0,0,0,"0",0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,6,5
"32",32,"Enero","martes, 09 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 9  CL 10A  CR43e  CR34","Poblado ","Comuna14ElPoblado",19,5,14,"0",0,5,0,0,0,0,5,0,"0",5,8,1,0,0,10,3,1,0,0,1,4,14
"33",33,"Enero","miércoles, 10 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",118,33,85,"0",16,13,4,17,0,8,8,0,"0",24,46,15,26,0,34,23,2,0,0,1,6,5
"34",34,"Enero","jueves, 11 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",138,36,102,"0",12,24,0,15,0,14,5,2,"0",44,52,6,42,0,36,22,2,0,0,1,6,5
"35",35,"Enero","viernes, 12 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",174,46,128,"0",18,24,4,26,0,11,7,2,"0",65,60,3,72,1,38,13,4,0,0,1,6,5
"36",36,"Enero","viernes, 12 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","AV 74d
 CR 73  CR 76

","Laureles","Comuna11LaurelesEstadio",119,20,99,"0",3,17,0,9,0,1,7,3,"0",19,70,9,13,0,11,62,13,0,0,1,3,11
"37",37,"Enero","sábado, 13 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 45 CR 54  51","Candelaria","Comuna10LaCandelaria",64,18,46,"0",5,9,3,8,0,3,3,4,"1",7,35,4,3,0,23,17,3,0,0,1,3,10
"38",38,"Enero","sábado, 13 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",356,104,252,"1",59,45,0,43,0,45,10,6,"0",113,139,0,135,0,104,12,1,0,0,1,6,5
"39",39,"Enero","martes, 09 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 43D CL 14 16","Poblado ","Comuna14ElPoblado",36,9,27,"0",0,7,1,4,0,3,1,1,"0",2,22,3,3,0,14,10,0,0,0,1,5,14
"40",40,"Enero","miércoles, 10 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cll 17 24 CR 48  43F","Ciudad del Rio","Comuna14ElPoblado",84,17,67,"1",4,12,1,9,0,0,5,3,"0",15,48,4,11,0,16,38,2,0,0,1,5,14
"41",41,"Enero","jueves, 11 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CR 64C CLL78","Caribe","Comuna5Castilla",609,197,412,"0",48,121,16,103,0,12,39,43,"0",98,281,27,70,6,63,220,53,0,0,2,9,5
"42",42,"Enero","viernes, 12 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CLL33 CR 80  65","Laureles","Comuna11LaurelesEstadio",171,10,161,"12",6,4,0,4,0,5,1,0,"6",8,109,42,35,0,61,59,6,0,0,1,5,11
"43",43,"Enero","sábado, 13 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 50 CLL 30 44","Perpetuo Socorro","Comuna10LaCandelaria",151,12,139,"0",2,8,2,5,0,3,2,2,"2",30,98,11,36,0,29,69,5,0,0,1,5,10
