"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"1178",1178,"Mayo","viernes, 18 de mayo de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Actores viales en general","Carrera 46 con calle 57 (San Antonio )","Astorga","Comuna5Castilla",15,7,8,"0",2,5,0,0,0,2,3,2,"0",2,6,0,0,0,3,3,2,0,0,1,2,5
"1179",1179,"Mayo","viernes, 18 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Actores viales en general","CR 64 C No. 72 - 58","Caribe","Comuna5Castilla",33,8,25,"0",3,3,2,0,0,3,2,3,"0",9,15,1,0,0,11,13,1,0,0,1,2,5
"1180",1180,"Mayo","jueves, 17 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Seguridad Colombia","Empresas con Plan Estratégico de Seguridad vial.","calle 34 EE número 91-20","Los Colores","Comuna14ElPoblado",1,1,0,"0",0,1,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,14
"1181",1181,"Mayo","sábado, 19 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Actores viales en general","calle 12 sur # 18-168","Robledo","Comuna5Castilla",119,9,110,"0",4,3,2,0,0,9,0,0,"0",39,55,16,0,0,73,33,4,0,0,2,2,5
"1182",1182,"Mayo","miércoles, 16 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","I.U Salazar y Herrara","Instituciones de Educación Superior 
","Carrera 87 # 79-63","Perpetuo Socorro","Comuna11LaurelesEstadio",96,47,49,"0",47,0,0,30,0,15,1,1,"0",45,4,0,0,0,39,10,0,0,0,1,3,11
"1183",1183,"Mayo","sábado, 19 de mayo de 2018","Laboratorio Creativo de Movilidad","Taller de educación vial","Universidad de Antioquia","Instituciones de Educación Superior 
","Carrera 49 3 17 B- 21","Perpetuo Socorro","Comuna7Robledo",9,1,8,"0",1,0,0,0,1,0,0,0,"0",6,2,0,4,1,2,1,0,0,0,1,0,7
"1184",1184,"Mayo","miércoles, 16 de mayo de 2018","Activaciones BTL","Experiencia-Encarrete","Centro comercial Premium Plaza","Empresas privadas","calle 50 número 29 117","Centro","Comuna10LaCandelaria",114,31,83,"0",22,9,0,0,0,28,0,3,"0",49,34,0,0,0,75,2,6,0,0,1,3,10
"1185",1185,"Mayo","sábado, 19 de mayo de 2018","Activaciones BTL","Experiencia-Encarrete","Centro comercial Premium Plaza","Empresas privadas","Calle 100 # 66 - 64","Laureles ","Comuna10LaCandelaria",137,48,89,"0",28,11,2,22,0,2,14,10,"0",41,38,2,37,2,9,29,12,0,0,1,3,10
"1186",1186,"Mayo","martes, 15 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","Km 7","Centro","Comuna10LaCandelaria",160,90,70,"7",50,30,10,90,0,0,0,0,"8",10,10,50,70,0,0,0,0,0,0,1,8,10
"1187",1187,"Mayo","miércoles, 16 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cll 92 # 51 a 100","Centro","Comuna11LaurelesEstadio",33,12,21,"0",4,8,0,3,0,0,9,0,"0",8,13,0,6,0,13,2,0,0,0,2,7,11
"1188",1188,"Mayo","jueves, 17 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","Cr 50A # 93 77","Boston","Comuna10LaCandelaria",204,94,110,"0",40,21,32,94,0,0,0,0,"0",40,42,28,110,0,0,0,0,0,0,1,8,10
"1189",1189,"Mayo","viernes, 18 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","Cra 58 #84 40","Santa Monica","Comuna10LaCandelaria",461,224,237,"1",77,76,43,224,0,0,0,0,"0",83,99,37,237,0,0,0,0,0,0,1,8,10
"1190",1190,"Mayo","miércoles, 16 de mayo de 2018","Instituciones educativas e IES","Formación docentes","Escuela del Maestro MOVA","Segunda cohorte Formación A la Rueda Ruedo","CR 64 C No. 72 - 58","Poblado","Comuna10LaCandelaria",0,0,0,"28",0,0,0,0,0,0,0,0,"18",0,0,0,0,0,0,0,0,1,0,2,3,10
"1191",1191,"Mayo","viernes, 18 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Instituciones educativas e IES","La América","Estudiantes","Cll 28 # 77-84","Robledo","Comuna12LaAmérica",369,165,204,"0",165,0,0,165,0,0,0,0,"0",204,0,0,204,0,0,0,0,0,0,0,0,12
"1192",1192,"Mayo","sábado, 19 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Empresas","ISA","Público general y empleados","C 83 # 26 -41","Buenos Aires","Comuna14ElPoblado",157,65,92,"0",35,25,0,65,0,0,0,0,"0",72,12,0,92,0,0,0,0,0,0,0,0,14
"1193",1193,"Mayo","lunes, 21 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Instituciones educativas e IES","IE El Diamante","Estudiantes","CR 43 A 30 25","Buenos Aires","Comuna7Robledo",225,114,111,"5",70,0,0,114,0,0,0,0,"8",66,0,0,111,0,0,0,0,0,0,0,0,7
"1194",1194,"Mayo","martes, 22 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Instituciones educativas e IES","IE Guadalupano La Salle","Estudiantes","Carrera 49 entre 52 y 54","Castilla","Comuna9BuenosAires",176,52,124,"44",52,0,0,52,0,0,0,0,"45",124,0,0,124,0,0,0,0,0,0,0,0,9
"1195",1195,"Mayo","miércoles, 23 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Instituciones educativas e IES","Manuel Jose Cayzedo","Estudiantes","Carrera 43 A con la 12 Sur","Santa Elena","Comuna9BuenosAires",275,130,145,"0",101,0,0,130,0,0,0,0,"0",101,0,0,145,0,0,0,0,0,0,0,0,9
"1196",1196,"Mayo","jueves, 24 de mayo de 2018","Experiencia-Aula Móvil","Aula Móvil en Instituciones educativas e IES","I E Maestro Arenas Betancurt","Estudiantes","Carrera 49 entre 52 y 54","Aranjuez","Comuna5Castilla",212,94,118,"29",94,0,0,94,0,0,0,0,"44",118,0,0,118,0,0,0,0,0,0,0,0,5
"1197",1197,"Mayo","lunes, 21 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","I.E. Media Luna","Docentes","Carrera 43 A con la 12 Sur","Aranjuez","Comuna90SantaElena",7,5,2,"0",0,4,1,5,0,0,0,0,"0",0,0,0,2,0,0,0,0,0,0,2,0,90
"1198",1198,"Mayo","lunes, 21 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","I.E. Alzate Avendaño","Docentes","CR 56 72 115","Moravia","Comuna4Aranjuez",28,13,15,"0",0,13,0,8,0,1,2,2,"2",0,14,1,7,1,4,3,0,1,0,1,0,4
"1199",1199,"Mayo","martes, 22 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","I.E. José Eusebio Caro","Docentes","CR 56 72 115","Boston","Comuna4Aranjuez",35,28,7,"0",0,28,0,14,0,5,4,5,"0",0,7,0,6,0,1,0,0,0,0,2,0,4
"1200",1200,"Mayo","martes, 22 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","I.E. Fe y Alegría Luis Amigó","Docentes","CR 56 72 115","Belén","Comuna4Aranjuez",26,11,15,"0",0,11,0,6,0,2,1,2,"0",0,15,0,9,1,4,1,0,0,0,2,0,4
"1201",1201,"Mayo","miércoles, 23 de mayo de 2018","Instituciones educativas e IES","Formación docentes","Escuela del Maestro MOVA","Segunda cohorte Formación A la Rueda Ruedo","CR 56 72 115","Belén","Comuna10LaCandelaria",0,0,0,"0",0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,2,3,10
"1202",1202,"Mayo","jueves, 24 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","I.E. Yermo y Parres","Docentes","CR 56 72 115","Perpetuo Socorro","Comuna16Belén",21,15,6,"0",0,15,0,4,0,2,9,0,"0",0,6,0,2,0,1,3,0,0,0,2,0,16
"1203",1203,"Mayo","jueves, 24 de mayo de 2018","Instituciones educativas e IES","Taller de educación vial","Buen Comienzo Altavista","Docentes","CR 56 72 115","La candelaria","Comuna16Belén",15,11,4,"0",0,11,0,7,0,2,2,0,"0",0,4,0,2,0,1,1,0,1,0,0,0,16
"1204",1204,"Mayo","sábado, 26 de mayo de 2018","Activaciones BTL","Experiencia-Encarrete","Centro Comercial Premium Plaza","Empresas comerciales y de servicios ","CR 56 72 115","El Poblado","Comuna10LaCandelaria",94,64,30,"0",23,24,0,5,0,8,4,47,"0",7,9,0,0,1,9,6,14,0,0,1,6,10
"1205",1205,"Mayo","lunes, 21 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CR 56 72 115","La candelaria","Comuna10LaCandelaria",498,228,270,"17",92,96,40,228,0,0,0,0,"14",71,162,37,229,0,0,41,0,0,0,1,9,10
"1206",1206,"Mayo","martes, 22 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","feligreses Rosa Mística El Poblado","Cll 14 # 30 - 13","El Poblado","Comuna14ElPoblado",161,95,66,"0",30,47,18,0,0,35,60,0,"0",29,35,2,0,0,54,12,0,0,0,1,6,14
"1207",1207,"Mayo","miércoles, 23 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cr 78 53B 36","Miranda ","Comuna10LaCandelaria",218,59,159,"0",13,39,7,1,0,38,15,5,"0",86,70,3,7,0,83,64,5,0,0,1,6,10
"1208",1208,"Mayo","viernes, 25 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","feligreses Rosa Mística El Poblado","Cl. 120 #42bb20","Miranda ","Comuna14ElPoblado",77,30,47,"0",17,13,0,6,0,3,7,14,"0",19,28,0,7,0,20,14,6,0,0,1,4,14
"1209",1209,"Mayo","lunes, 21 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Colegio Londres","Niños y niñas de instituciones educativas entre 6 y 14 años.
"," Calle 18 No. 103 - 106  Corregimiento Altavista","Miranda ","Comuna4Aranjuez",33,20,13,"0",0,2,0,0,0,0,0,20,"0",0,0,0,0,0,0,0,13,0,0,1,3,4
"1210",1210,"Mayo","lunes, 21 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Fe y alegría villa de la candelaria","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 50 14 - 285","Miranda ","Comuna4Aranjuez",43,23,20,"18",0,2,1,2,0,0,0,21,"13",0,0,0,0,0,0,0,20,0,0,1,3,4
"1211",1211,"Mayo","martes, 22 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Présbitero Juan J. Escobar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","Calle 10 sur # 50FF 70","Miranda ","Comuna4Aranjuez",25,13,12,"20",12,1,0,0,0,0,0,13,"20",11,1,0,0,0,0,0,12,0,0,1,3,4
"1212",1212,"Mayo","martes, 22 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Présbitero Juan J. Escobar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 50ff 10sur 150","Miranda ","Comuna4Aranjuez",38,17,21,"0",0,2,0,0,0,0,0,17,"0",0,0,0,0,0,0,0,21,0,0,1,3,4
"1213",1213,"Mayo","miércoles, 23 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Présbitero Juan J. Escobar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","Calle 44 N° 52-165.","Miranda ","Comuna4Aranjuez",34,17,17,"15",16,1,0,0,0,0,0,17,"21",17,0,0,0,0,0,0,17,0,0,1,3,4
"1214",1214,"Mayo","miércoles, 23 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Présbitero Juan J. Escobar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","Cra 52#50-55","Miranda ","Comuna4Aranjuez",22,11,11,"0",0,2,0,0,0,0,0,11,"0",0,0,0,0,0,0,0,11,0,0,1,3,4
"1215",1215,"Mayo","jueves, 24 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Sol de Oriente","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 50 14 - 285","Palmas","Comuna4Aranjuez",34,20,14,"9",0,1,0,0,0,0,0,20,"11",0,0,0,0,0,0,0,14,0,0,1,3,4
"1216",1216,"Mayo","jueves, 24 de mayo de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institución Educativa Fe y alegría villa de la candelaria","Niños y niñas de instituciones educativas entre 6 y 14 años.
","Cl 50 65-42 OF 222","Colores","Comuna4Aranjuez",41,22,19,"19",0,1,0,0,0,0,0,22,"14",0,0,0,0,0,0,0,19,0,0,1,3,4
"1217",1217,"Mayo","martes, 22 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Trasportadora Asia","Empleados","Cle. 3 # 52-12","Popular 1","Comuna14ElPoblado",1,1,0,"21",0,1,0,0,0,0,1,0,"19",0,0,0,0,0,0,0,0,0,0,1,0,14
"1218",1218,"Mayo","jueves, 24 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Transmilenium 2021","Empleados","CR 47D 78A 70 ","Altavista","Comuna11LaurelesEstadio",1,1,0,"0",0,1,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,11
"1219",1219,"Mayo","martes, 22 de mayo de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Fe y Alegría Popular 1","Docentes","CLL 25 #44 - 45 ","Guayabal","Comuna1Popular",3,2,1,"0",0,2,0,1,0,1,0,0,"0",0,1,0,0,0,1,0,0,0,0,0,1,1
"1220",1220,"Mayo","martes, 22 de mayo de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Débora Arango Pérez","Docentes","Cra 43E #5-65","Guayabal","Comuna70Altavista",3,2,1,"0",0,2,0,2,0,0,0,0,"0",0,1,0,0,1,0,0,0,0,0,0,1,70
"1221",1221,"Mayo","lunes, 21 de mayo de 2018","Empresas","Taller de educación vial","Argos","Empresas comerciales y de servicios ","Carrera 42a No. 1-15","Guayabal","Comuna15Guayabal",21,0,21,"0",0,0,0,0,0,0,0,0,"0",2,18,1,0,0,0,21,0,0,0,1,0,15
"1222",1222,"Mayo","lunes, 21 de mayo de 2018","Empresas","Taller de educación vial","Perman","Empresas comerciales y de servicios ","CR 80 47 74","LA CANDELARIA","Comuna15Guayabal",25,0,25,"0",0,0,0,0,0,0,0,0,"0",15,10,0,3,0,19,3,0,0,0,1,0,15
"1223",1223,"Mayo","lunes, 21 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","DH Visual","Empresas comerciales y de servicios ","Cra 50A#61-72","Candelaria","Comuna15Guayabal",1,1,0,"0",0,1,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,15
"1224",1224,"Mayo","lunes, 21 de mayo de 2018","Empresas","Taller de educación vial","Gobernación de Antioquia","Empresas por solicitud de PQRS","CR 50 14 - 285","Guayabal","Comuna10LaCandelaria",60,0,60,"0",0,0,0,0,0,0,0,0,"0",0,60,0,0,0,0,60,0,0,0,1,0,10
"1225",1225,"Mayo","lunes, 21 de mayo de 2018","Empresas","Taller de educación vial","Distribuidora Pasteur","Empresas comerciales y de servicios ","Calle 46 45 47","Suramericana","Comuna10LaCandelaria",19,6,13,"0",3,3,0,4,0,2,0,0,"0",7,6,0,0,0,13,0,0,0,0,1,0,10
"1226",1226,"Mayo","martes, 22 de mayo de 2018","Empresas","Taller de educación vial","Argos","Empresas comerciales y de servicios ","CARRERA 56 N° 62 – 160","Cristo Rey","Comuna15Guayabal",49,1,48,"0",1,0,0,1,0,0,0,0,"0",19,28,1,8,0,23,17,0,0,0,1,0,15
"1227",1227,"Mayo","martes, 22 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Palenque Robledal","Transporte Público Colectiivo","Cra 43A#16A sur-38","Floresta","Comuna11LaurelesEstadio",2,1,1,"0",0,1,0,0,0,0,1,0,"0",0,1,0,0,0,0,1,0,0,0,1,0,11
"1228",1228,"Mayo","martes, 22 de mayo de 2018","Empresas","Taller de educación vial","Rentaturex","Empresas con Plan Estratégico de Seguridad vial.","Cra 50A#61-72","Ciudad del Rio","Comuna15Guayabal",15,0,15,"0",0,0,0,0,0,0,0,0,"0",2,11,2,0,0,0,15,0,0,1,0,0,15
"1229",1229,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Taller de educación vial","Coonatra","Transporte Público Colectiivo","CR 52 50 - 55","Patio Bonito","Comuna11LaurelesEstadio",22,0,22,"0",0,0,0,0,0,0,0,0,"0",8,13,1,0,0,1,21,0,0,0,1,0,11
"1230",1230,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas"," Mundo Motorrad","Empresas comerciales y de servicios ","CR 43A No. 25A – 27","Poblado","Comuna14ElPoblado",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,1,0,0,0,1,0,0,0,1,0,0,14
"1231",1231,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Polco SAS","Empresas comerciales y de servicios ","CLL 53 72 01","Floresta","Comuna14ElPoblado",1,1,0,"0",1,0,0,0,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,1,0,0,14
"1232",1232,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Taller de educación vial","Inmobiliaria Santa Fe","Empresas comerciales y de servicios ","CR 85a 98b17","Prado","Comuna14ElPoblado",26,8,18,"0",2,6,0,1,0,6,0,1,"0",9,9,0,1,1,13,1,2,0,1,0,0,14
"1233",1233,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Taller de educación vial","Segurcol- Segurtronic-GR Temporales","Empresas de Motociclistas ( Mensajería, Domiciliarios, Seguridad, Servicios.)","CL 92 51a 100","Guayabal","Comuna12LaAmérica",14,1,13,"0",0,1,0,0,0,0,1,0,"0",1,12,0,0,0,12,1,0,0,0,1,0,12
"1234",1234,"Mayo","miércoles, 23 de mayo de 2018","Empresas","Taller de educación vial","Endicontrol","Empresas comerciales y de servicios ","CL 113 43a 45","Colon","Comuna10LaCandelaria",21,0,21,"0",0,0,0,0,0,0,0,0,"0",12,9,0,3,0,9,9,0,0,0,1,0,10
"1235",1235,"Mayo","jueves, 24 de mayo de 2018","Empresas","Taller de educación vial","Argos","Empresas comerciales y de servicios ","Diagonal 17dd 56b 49","Chagualo","Comuna15Guayabal",20,0,20,"0",0,0,0,0,0,0,0,0,"0",3,15,2,4,0,2,14,0,0,0,1,0,15
"1236",1236,"Mayo","jueves, 24 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Drogas Monaco","Empresas comerciales y de servicios ","CL 50 41 55","Poblado","Comuna10LaCandelaria",1,1,0,"0",1,0,0,0,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,1,0,0,10
"1237",1237,"Mayo","jueves, 24 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Transmeba","Transporte Público Colectiivo","CL 73 51c 31","Prado","Comuna10LaCandelaria",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,1,0,0,0,0,1,0,0,1,0,0,10
"1238",1238,"Mayo","jueves, 24 de mayo de 2018","Empresas","Taller de educación vial","DHL","Empresas de Motociclistas ( Mensajería, Domiciliarios, Seguridad, Servicios.)","CL 30a 69 108","Centro","Comuna14ElPoblado",14,7,7,"0",6,1,0,2,0,3,2,0,"0",7,0,0,4,0,3,0,0,0,0,1,0,14
"1239",1239,"Mayo","jueves, 24 de mayo de 2018","Empresas","Taller de educación vial","Endicontrol","Empresas comerciales y de servicios ","CR 64C  72  58","Poblado","Comuna10LaCandelaria",8,6,2,"0",4,2,0,2,0,2,2,0,"0",1,1,0,1,0,1,0,0,0,0,1,0,10
"1240",1240,"Mayo","viernes, 25 de mayo de 2018","Empresas","Taller de educación vial","Pasteur","Empresas de Motociclistas ( Mensajería, Domiciliarios, Seguridad, Servicios.)","CR 64C  72  58","Los Colores","Comuna10LaCandelaria",20,4,16,"0",2,2,0,2,0,0,0,2,"0",9,7,0,3,0,13,0,0,0,0,1,0,10
"1241",1241,"Mayo","viernes, 25 de mayo de 2018","Empresas","Reunión diagnóstica inicial en empresas","Mimos","Empresas comerciales y de servicios ","CR 64C  72  58","Picachito","Comuna14ElPoblado",18,10,8,"0",4,6,0,2,1,3,2,2,"0",4,4,0,1,0,4,2,1,0,1,0,0,14
"1242",1242,"Mayo","sábado, 26 de mayo de 2018","Empresas","Taller de educación vial","As Transportes","Transporte Público Colectiivo","CR 64C  72  58","San Isidro","Comuna11LaurelesEstadio",24,4,20,"0",1,3,0,2,0,0,2,0,"0",5,15,0,0,0,0,20,0,0,0,1,0,11
"1243",1243,"Mayo","lunes, 21 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","Institución Educativa Picachito","Estudiantes","CR 64C  72  58","Santa Cruz","Comuna6DocedeOctubre",148,60,88,"0",60,0,0,60,0,0,0,0,"0",88,0,0,86,0,2,0,0,0,0,1,3,6
"1244",1244,"Mayo","martes, 22 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","Institución Educativa Gilberto Alzate Avendaño","Estudiantes","Calle 12 A Sur, Entrada A La carrera 43A","La Libertad","Comuna4Aranjuez",180,78,102,"0",78,0,0,78,0,0,0,0,"0",102,0,0,96,2,4,0,0,0,0,1,3,4
"1245",1245,"Mayo","miércoles, 23 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","Institución Educativa Barrio Santa Cruz","Estudiantes","CR 43A Cll 12 S ","La candelaria","Comuna1Popular",165,91,74,"0",91,0,0,90,0,1,0,0,"0",74,0,0,70,0,4,0,0,0,0,1,3,1
"1246",1246,"Mayo","miércoles, 23 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","IE La Libertad","Estudiantes","CR 50A Cll 93 77","San Pedro","Comuna8VillaHermosa",94,40,54,"0",40,0,0,40,0,0,0,0,"0",54,0,0,50,0,4,0,0,0,0,1,2,8
"1247",1247,"Mayo","jueves, 24 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","IE CEFA","Estudiantes","CR 43A Cll 12 S ","Belén","Comuna10LaCandelaria",148,148,0,"0",148,0,0,148,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,3,10
"1248",1248,"Mayo","jueves, 24 de mayo de 2018","Experiencia-Encarrete","Empresas con Plan Estratégico de Seguridad vial","Forjas Bolivar","Actores viales en general","Cll 31A CR 82C","Caribe ","Comuna4Aranjuez",40,16,24,"0",0,14,2,16,0,0,0,0,"0",8,13,3,12,1,8,3,0,0,0,1,2,4
"1249",1249,"Mayo","viernes, 25 de mayo de 2018","Experiencia-Encarrete","Empresas con Plan Estratégico de Seguridad vial","Grupo MAS - Tax Belén","Actores viales en general","CR 51 CLL 44 y 50","Caribe ","Comuna16Belén",53,14,39,"0",2,12,0,10,0,0,4,0,"0",9,30,0,5,0,4,30,0,0,0,1,2,16
"1250",1250,"Mayo","lunes, 21 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64C CLL 72 58","Caribe","Comuna5Castilla",67,26,41,"0",9,11,6,2,0,10,11,3,"0",35,6,0,13,0,21,4,3,0,0,1,2,5
"1251",1251,"Mayo","martes, 22 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64C CLL 72 58","Caribe","Comuna5Castilla",81,38,43,"0",13,22,3,9,0,24,4,1,"0",32,4,7,10,0,26,6,1,0,0,1,2,5
"1252",1252,"Mayo","miércoles, 23 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64 C  72  58","Caribe ","Comuna5Castilla",30,11,19,"0",4,5,2,6,0,2,3,0,"0",13,3,3,6,0,9,2,2,0,0,1,2,5
"1253",1253,"Mayo","jueves, 24 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64 C  72  58","Poblado ","Comuna5Castilla",56,17,39,"0",9,7,1,4,0,8,3,2,"0",15,20,4,15,0,17,4,3,0,0,1,3,5
"1254",1254,"Mayo","viernes, 25 de mayo de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","Cra 53 76 115","Poblado ","Comuna5Castilla",73,29,44,"0",7,18,4,13,0,7,7,2,"0",19,21,4,8,0,24,10,2,0,0,1,2,5
"1255",1255,"Mayo","jueves, 24 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","feligreses Rosa Mística El Poblado","Cra 53 76 115","Aranjuez","Comuna14ElPoblado",82,27,55,"0",5,13,9,11,0,2,14,0,"0",9,15,31,28,3,16,8,0,0,0,1,3,14
"1256",1256,"Mayo","lunes, 21 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","feligreses Rosa Mística El Poblado","Cra 53 76 115","Poblado ","Comuna14ElPoblado",109,41,68,"0",13,22,5,9,0,5,6,21,"0",25,41,2,7,0,31,19,11,0,0,1,9,14
"1257",1257,"Mayo","martes, 22 de mayo de 2018","Experiencia-Encarrete","Encarrete Instituciones Educativas e IES","IE Jose Eusebio Caro","Estudiantes","Cra 53 76 115","Belén","Comuna4Aranjuez",166,81,85,"1",79,2,0,81,0,0,0,0,"0",84,1,0,85,0,0,0,0,0,0,1,3,4
"1258",1258,"Mayo","miércoles, 23 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","feligreses Rosa Mística El Poblado","Cra 53 76 115","Centro","Comuna14ElPoblado",49,20,29,"0",6,14,0,0,0,14,0,6,"0",10,18,1,0,0,19,7,3,0,0,1,6,14
"1259",1259,"Mayo","jueves, 24 de mayo de 2018","Intervenciones en vía y trámites","Punto seguro para motociclistas","Secretaría de Movilidad","Punto seguro para motociclistas","Cra 53 76 115","Caribe","Comuna16Belén",612,287,325,"0",152,135,0,0,0,210,0,77,"0",138,187,0,7,0,261,0,57,0,0,2,6,16
"1260",1260,"Mayo","viernes, 25 de mayo de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","calle89 # 42 - 107","Caribe","Comuna10LaCandelaria",196,76,120,"0",31,45,0,67,2,7,0,0,"0",46,74,0,95,0,25,0,0,0,0,2,12,10
